Meses,Promedio,ene--21,feb--21,mar--21,abr--21,may--21,jun--21,jul--21,ago--21,sep--21,oct--21,nov--21,dic--21,ene--22,feb--22,mar--22,abr--22,may--22,jun--22,jul--22,ago--22,sep--22,oct--22,nov--22,dic--22,ene--23,feb--23,mar--23,abr--23,may--23,jun--23,jul--23,ago--23,sep--23,oct--23,nov--23,dic--23,ene--24,feb--24,mar--24,abr--24,may--24,jun--24,jul--24,ago--24,sep--24,oct--24,Nov--24
m-1,0.00000,0,0.016782531,0,0,0.000498005,0.000890938,0.001086965,0,0,0.006746648,0.004054831,0.014048287,0.004432078,0.005100323,0.009165327,0.005402614,0.000676305,0.003439693,0.001098297,0,0.035456181,0,0,0.002173166,0.05185342,0.005893212,0,0,0.002853198,0.006163571,0.002885417,0.011869459,0.000498947,0.003457321,0.004078154,0.018993183,0.003073333,0.020666492,0.006629201,0.007837127,0.000844296,0.005281286,0.008607649,0.009065493,0.004936374,0.005088628,0.009330377
m-2,0.01659,0.01638529,0.018052951,0,0.008470818,0.000653032,0.004980328,0.009227309,0.01548582,0,0.01225323,0.008012594,0.015851275,0.026583737,0.047550038,0.015022411,0.03943499,0.011388854,0.010508812,0.021199181,0.00693739,0.081573466,0.04866765,0.009260781,0.029949049,0.130024405,0.025010823,0,0.023676292,0.010747441,0.013142891,0.065495352,0.022927453,0.001924301,0.034649537,0.008768031,0.042671649,0.034444674,0.132755261,0.035894057,0.019771223,0.034985735,0.047530352,0.050933131,0.02624413,0.067409555,0.055142865,
m-3,0.00980,0.025344498,0.051951859,0.001397898,0.008470818,0.003894868,0.035509507,0.027596395,0.018645655,0,0.017162808,0.014789173,0.064126589,0.054203116,0.099044794,0.034064682,0.08071944,0.033899277,0.030232557,0.049929525,0.01702814,0.091063094,0.04866765,0.016639289,0.031040647,0.140447203,0.068086404,0,0.063892074,0.025825735,0.038824125,0.081725821,0.034002474,0.009007327,0.048951693,0.058333769,0.06729634,0.066339612,0.202451987,0.046176535,0.051339609,0.094698467,0.060291508,0.144637287,0.081063972,0.125023439,,
m-4,0.01086,0.0258236,0.085607151,0.009533355,0.014249361,0.004352402,0.039197151,0.035274306,0.068823973,0.019667469,0.034110672,0.026659721,0.104070765,0.089947853,0.13377006,0.064576666,0.095747145,0.035669692,0.051289248,0.121355489,0.062431037,0.121271589,0.04866765,0.061005526,0.032132245,0.150870001,0.154715514,0,0.116806686,0.073559637,0.085647303,0.089540492,0.042123995,0.019973283,0.071586432,0.06769925,0.096182292,0.124641664,0.222156219,0.09132028,0.102436464,0.129435614,0.110775614,0.176064883,0.15176703,,,
m-5,0.01427,0.0258236,0.100693383,0.020138644,0.014249361,0.020051204,0.040850097,0.060086664,0.075556173,0.042562975,0.058803893,0.040355343,0.148803438,0.124807577,0.169337105,0.081895929,0.104467614,0.037139527,0.086124347,0.147452518,0.094483738,0.17332402,0.052690374,0.075161728,0.034059677,0.161292799,0.231066306,0,0.151109345,0.130040757,0.09879717,0.152587629,0.069378378,0.032164684,0.126639247,0.104061749,0.154434608,0.146112764,0.299113986,0.116417924,0.163376375,0.186721024,0.151405144,0.263994495,,,,
m-6,0.01541,0.051357758,0.100693383,0.028973127,0.028524988,0.028988382,0.041125588,0.075872021,0.082288373,0.042562975,0.074261518,0.058011729,0.167278277,0.173149999,0.190562549,0.097746056,0.128020488,0.05165603,0.11604045,0.204428828,0.112188583,0.20457451,0.056713098,0.082239072,0.11618461,0.173800156,0.251929439,0,0.160956446,0.13250729,0.14983608,0.209112939,0.080155189,0.051005962,0.155484597,0.158191979,0.167685935,0.193066753,0.311177037,0.160353596,0.192048113,0.219238279,0.183273591,,,,,
m-7,0.01715,0.051357758,0.100693383,0.036261092,0.055853424,0.029331361,0.054250134,0.077432631,0.090121469,0.042562975,0.075557647,0.074101073,0.186613972,0.20738465,0.233932599,0.115922231,0.148955617,0.066182139,0.119284829,0.235183014,0.127082529,0.238774658,0.056713098,0.093838389,0.137094074,0.220702747,0.272570918,0,0.160956446,0.171037286,0.160627436,0.22359773,0.152634781,0.075107492,0.191180955,0.180297079,0.194895733,0.248404927,0.344082022,0.182519921,0.257912332,0.274248083,,,,,,
m-8,0.02717,0.079918204,0.14172191,0.049889781,0.065912015,0.039244919,0.057602861,0.089116144,0.175629431,0.042562975,0.130056922,0.104770978,0.201318847,0.235369064,0.25194995,0.1371949,0.158821186,0.069939387,0.137154048,0.26251141,0.130879174,0.244735337,0.104147722,0.131338051,0.153608465,0.254976805,0.279220522,0,0.212607862,0.192041262,0.179656348,0.273785947,0.203112952,0.091146908,0.210952808,0.188223991,0.226801354,0.266537465,0.369907255,0.307500662,0.318002719,,,,,,,
m-9,0.03865,0.079918204,0.14172191,0.055321925,0.069082859,0.04020526,0.059591355,0.109963142,0.182361631,0.077635515,0.130803178,0.125880503,0.249311595,0.26039417,0.288387037,0.15216714,0.236812571,0.069939387,0.157801521,0.300979863,0.161282147,0.254800566,0.115039249,0.141652904,0.188412559,0.267484163,0.282683857,0,0.242906059,0.202721554,0.201653647,0.325600849,0.22536274,0.113732841,0.259612672,0.20800488,0.232000313,0.292179029,0.386583686,0.310490632,,,,,,,,
m-10,0.04596,0.079918204,0.150203404,0.068890631,0.070431493,0.048498414,0.063252356,0.12123935,0.182361631,0.110878414,0.130803178,0.137359356,0.298471785,0.302405273,0.325920416,0.219899998,0.252595776,0.077375715,0.171299907,0.316079383,0.207550757,0.269437595,0.149403371,0.167475524,0.203825322,0.284855496,0.303186803,0,0.268260199,0.230598643,0.220497208,0.389981709,0.228451789,0.146326033,0.277095209,0.224156409,0.250147642,0.317368056,0.434327219,,,,,,,,,
