Meses,Recaudo Mensual,Capital Neto Mensual
ene--21,0,0
feb--21,17850000,554147635
mar--21,5379000,1052728149
abr--21,19035000,2326921011
may--21,34083800,3815712526
jun--21,34047967,5239480405
jul--21,36163055,7018258116
ago--21,93637352,8304610165
sep--21,113429346,8488260543
oct--21,90241173,8705633934
nov--21,86758189,9128084482
dic--21,110670818,10685413610
ene--22,63001217,11287973978
feb--22,180413925,13512406226
mar--22,363487973,15228286888
abr--22,340460042,17042337419
may--22,351921342,17863181684
jun--22,449003270,18079559067
jul--22,316913397,18937169159
ago--22,400548881,19265020902
sep--22,440275442,19617550802
oct--22,533687443,19726670433
nov--22,420901043,19604074694
dic--22,455678211,19812487351
ene--23,327972574,20082720278
feb--23,335722828,19842940977
mar--23,415114303,19788750421
abr--23,264480920,19524269501
may--23,629354019,19163116260
jun--23,453080573,19530168137
jul--23,441802268,19952203602
ago--23,497989093,19731470825
sep--23,487284868,19790124912
oct--23,32024353,20893491023
nov--23,558900125,22039427447
dic--23,334267617,22195577786
ene--24,360249922,22318866922
feb--24,674864539,22717212845
mar--24,707058146,22511374414
abr--24,744564420,22536048510
may--24,634561105,22761496468
jun--24,603627666,23250265642
jul--24,635425197,23237321363
ago--24,544957701,22931657337
sep--24,610225429,23120950702
oct--24,750608020,23124945206
nov--24,641029189,23004685117
